date,pct_above_50dma,pct_above_200dma,nh_nl_ratio,mclellan,hy_spread,hy_spread_60d_avg,hy_spread_20d_delta,hy_oas_20d_change_bp,yield_10y_3m_bp
2022-02-11,0.931,0.59,0.303,26.1,328.6,400.0,17.5,-9.3,73.9
2022-02-14,0.716,0.65,0.242,5.0,286.9,400.0,33.3,12.9,10.2
2022-02-15,0.684,0.81,0.24,37.8,370.0,400.0,-65.5,-3.3,90.4
2022-02-16,0.73,0.454,-0.096,-25.3,415.7,400.0,17.8,2.0,137.3
2022-02-17,0.527,0.696,0.413,-59.3,445.4,400.0,-0.9,12.7,21.0
2022-02-18,0.601,0.688,-0.183,16.9,323.3,400.0,-0.2,7.7,107.6
2022-02-22,0.729,0.818,0.86,24.9,346.2,400.0,-5.3,2.9,176.4
2022-02-23,0.568,0.534,-0.052,-42.5,445.0,400.0,12.2,8.7,187.7
2022-02-24,0.318,0.623,-0.183,-62.9,327.9,400.0,1.3,16.4,-38.1
2022-02-25,0.786,0.568,1.085,32.8,342.0,400.0,16.1,-19.8,-107.4
2022-02-28,0.707,0.637,-0.22,39.6,486.2,400.0,0.3,8.2,89.8
2022-03-01,0.427,0.503,0.34,-19.9,373.9,400.0,10.8,-13.5,66.1
2022-03-02,0.425,0.714,0.205,-47.5,330.9,400.0,15.6,6.6,0.2
2022-03-03,0.649,0.67,0.297,60.0,408.6,400.0,-2.6,-17.7,78.2
2022-03-04,1.0,0.617,0.448,48.8,436.2,400.0,15.3,0.5,48.0
2022-03-07,0.609,0.684,0.341,17.0,427.8,400.0,9.8,1.9,33.0
2022-03-08,0.515,0.703,-0.359,113.8,393.6,400.0,3.7,-1.4,36.1
2022-03-09,0.329,0.828,0.203,27.0,352.1,400.0,-13.9,9.9,101.4
2022-03-10,0.654,0.638,0.193,8.9,498.0,400.0,-16.8,-4.7,-79.3
2022-03-11,0.701,0.81,0.332,-19.6,462.0,400.0,7.7,-3.6,86.8
2022-03-14,0.548,0.552,0.098,-2.2,361.3,400.0,12.8,-1.3,328.9
2022-03-15,0.576,0.575,-0.149,-46.3,399.1,400.0,-6.5,-9.9,165.8
2022-03-16,0.555,0.842,-0.168,-18.7,350.5,400.0,14.4,-6.8,65.6
2022-03-17,0.45,0.796,0.066,80.2,411.0,400.0,-14.0,10.8,186.3
2022-03-18,0.455,0.447,-0.262,18.3,408.5,400.0,-2.4,11.5,214.6
2022-03-21,0.187,0.387,-0.067,35.2,420.1,400.0,-11.6,-11.8,123.3
2022-03-22,0.438,0.831,-0.043,-61.7,486.3,400.0,-13.1,10.1,5.4
2022-03-23,0.659,0.634,0.022,84.4,443.3,400.0,-16.2,-22.0,35.2
2022-03-24,0.458,0.575,0.813,40.5,352.9,400.0,68.6,-4.8,28.5
2022-03-25,0.663,0.681,-0.187,-1.7,334.5,400.0,22.5,-17.0,-28.1
2022-03-28,0.342,0.58,-0.721,78.1,416.6,400.0,9.7,1.2,181.9
2022-03-29,0.656,0.651,0.203,-59.3,442.4,400.0,-7.9,0.1,268.0
2022-03-30,0.508,0.615,-0.148,110.4,531.8,400.0,-22.5,21.0,103.4
2022-03-31,0.502,0.605,0.443,2.4,319.5,400.0,-30.5,19.8,44.3
2022-04-01,0.796,0.419,0.051,-47.5,452.3,400.0,-3.2,-6.7,155.1
2022-04-04,0.249,0.526,0.129,-19.1,370.0,400.0,18.4,0.7,193.1
2022-04-05,0.683,0.783,-0.301,-43.0,505.4,400.0,-21.0,-13.2,44.3
2022-04-06,0.718,0.742,0.118,49.6,377.8,400.0,11.3,-9.8,121.0
2022-04-07,0.552,0.675,0.484,-7.2,470.7,400.0,3.9,-23.1,-37.7
2022-04-08,0.388,0.746,0.365,-81.3,550.8,400.0,2.9,8.5,110.2
2022-04-11,0.61,0.659,0.155,-57.2,429.3,400.0,53.0,-11.0,19.9
2022-04-12,0.531,0.445,-0.268,-62.0,355.0,400.0,5.5,-11.2,124.0
2022-04-13,0.755,0.517,0.248,51.3,364.1,400.0,4.4,-7.1,56.2
2022-04-14,0.73,0.709,0.215,24.6,342.9,400.0,-11.6,-7.3,101.1
2022-04-15,0.6,0.441,0.486,-35.9,360.4,400.0,-13.2,-13.4,272.5
2022-04-18,0.44,0.554,0.19,-7.6,357.3,400.0,-22.0,12.0,108.1
2022-04-19,0.582,0.564,0.273,7.9,544.9,400.0,-26.3,0.7,138.3
2022-04-20,0.622,0.681,-0.012,-9.1,353.4,400.0,-4.9,-10.2,86.6
2022-04-21,0.58,0.626,-0.069,-16.1,408.8,400.0,10.4,-1.0,-40.7
2022-04-22,0.564,0.672,0.243,-16.3,426.1,400.0,-37.3,-2.9,49.1
2022-04-25,0.509,0.707,0.177,85.3,424.0,400.0,-2.7,-2.7,56.5
2022-04-26,0.41,0.693,0.182,-10.9,509.3,400.0,-15.8,8.8,146.4
2022-04-27,0.565,0.753,0.141,79.7,313.0,400.0,15.6,5.6,130.7
2022-04-28,0.62,0.67,-0.519,-6.2,323.0,400.0,-7.9,28.8,125.5
2022-04-29,0.612,0.531,0.279,37.5,344.7,400.0,16.7,-14.6,171.8
2022-05-02,0.593,0.5,0.303,56.6,486.0,400.0,-11.8,25.3,7.6
2022-05-03,0.314,0.698,-0.079,11.8,432.5,400.0,9.5,5.1,263.9
2022-05-04,0.481,0.637,0.305,-6.9,518.0,400.0,0.0,-1.3,-34.3
2022-05-05,0.779,0.648,0.051,38.3,285.3,400.0,9.6,-13.6,-6.0
2022-05-06,0.705,0.571,0.136,-6.4,436.4,400.0,20.2,-8.8,129.8
2022-05-09,0.576,0.642,-0.106,3.2,427.8,400.0,37.2,1.9,13.0
2022-05-10,0.611,0.467,0.092,44.5,302.0,400.0,2.4,-16.1,104.0
2022-05-11,0.433,0.481,-0.379,-16.6,427.0,400.0,-0.6,-1.4,42.0
2022-05-12,0.439,1.0,0.012,65.3,429.6,400.0,28.5,28.1,140.6
2022-05-13,0.496,0.391,0.651,24.9,361.3,400.0,-13.6,4.0,97.0
2022-05-16,0.553,0.525,0.149,9.6,431.6,400.0,9.5,6.8,53.9
2022-05-17,0.519,0.509,0.003,24.9,334.6,400.0,-11.8,-15.4,98.0
2022-05-18,0.621,0.509,-0.007,-36.7,444.0,400.0,-2.8,7.3,262.0
2022-05-19,0.608,0.594,-0.104,50.6,471.3,400.0,-14.4,-23.4,93.2
2022-05-20,0.631,0.492,0.138,26.2,349.8,400.0,13.3,-34.3,-11.5
2022-05-23,0.311,0.734,-0.198,98.8,455.6,400.0,-4.5,6.8,-45.3
2022-05-24,0.984,0.659,0.33,34.6,312.4,400.0,-24.4,2.0,45.8
2022-05-25,0.644,0.704,0.357,-5.8,407.1,400.0,-25.1,20.7,119.5
2022-05-26,0.546,0.679,0.307,-40.3,402.7,400.0,2.6,-26.8,216.4
2022-05-27,0.54,0.565,0.393,-17.5,378.7,400.0,21.5,12.3,171.2
2022-05-31,0.599,0.555,0.384,49.7,377.5,400.0,-37.1,-3.4,37.5
2022-06-01,0.529,0.808,0.197,19.8,498.8,400.0,-5.4,10.5,-6.8
2022-06-02,0.485,0.664,0.503,-51.5,250.0,400.0,-12.1,-21.3,83.5
2022-06-03,0.588,0.664,0.245,-56.6,493.3,400.0,17.8,7.0,91.0
2022-06-06,0.728,0.662,-0.075,67.5,321.6,400.0,-19.3,-23.4,67.8
2022-06-07,0.586,0.66,0.082,4.0,502.4,400.0,-0.5,20.7,151.2
2022-06-08,0.627,0.476,0.368,6.8,460.7,400.0,-25.4,-8.7,24.6
2022-06-09,0.748,0.695,0.241,1.0,423.9,400.0,23.9,-3.1,85.1
2022-06-10,0.722,0.958,-0.058,19.6,472.9,400.0,-18.6,5.4,122.9
2022-06-13,0.854,0.658,0.115,37.1,371.5,400.0,23.2,-13.6,-25.4
2022-06-14,0.372,0.858,-0.13,-10.7,432.7,400.0,1.1,11.1,125.6
2022-06-15,0.462,0.667,0.345,57.0,392.2,400.0,-17.9,17.4,177.0
2022-06-16,0.471,0.686,0.502,-46.0,419.3,400.0,12.2,-23.6,161.5
2022-06-17,0.337,0.689,-0.372,64.8,451.4,400.0,15.1,-6.9,97.9
2022-06-21,0.483,0.417,0.224,25.8,436.1,400.0,34.1,-8.9,11.7
2022-06-22,0.7,0.469,-0.221,-38.4,376.7,400.0,11.2,-15.5,30.4
2022-06-23,0.806,0.629,-0.317,72.9,406.0,400.0,13.2,-0.9,83.2
2022-06-24,0.658,0.858,0.491,26.6,392.5,400.0,16.9,5.9,112.1
2022-06-27,0.883,0.595,0.438,50.0,361.4,400.0,-67.6,-12.7,20.5
2022-06-28,0.476,0.712,0.165,-74.1,462.7,400.0,7.7,24.3,127.4
2022-06-29,0.719,0.538,-0.051,-21.1,478.6,400.0,20.2,-0.1,49.6
2022-06-30,0.7,0.764,0.015,0.2,542.0,400.0,4.6,2.1,73.1
2022-07-01,0.629,0.473,-0.083,12.2,356.4,400.0,-10.2,2.9,152.5
2022-07-05,0.585,0.78,0.695,43.5,464.9,400.0,-14.1,-21.2,-97.3
2022-07-06,0.559,0.645,0.685,45.7,422.9,400.0,-0.9,-23.7,96.5
2022-07-07,0.725,0.628,0.347,-83.0,384.0,400.0,-2.7,18.1,81.3
2022-07-08,0.672,0.733,0.122,-14.8,452.7,400.0,4.1,19.6,15.1
2022-07-11,0.65,0.812,-0.269,-7.9,403.7,400.0,0.1,14.4,249.8
2022-07-12,0.681,0.463,0.038,25.8,394.9,400.0,12.6,-6.8,15.3
2022-07-13,0.59,0.732,0.106,48.0,396.9,400.0,-26.2,-11.3,162.6
2022-07-14,0.719,0.451,-0.103,44.1,357.8,400.0,16.0,-8.3,155.1
2022-07-15,0.497,0.57,0.511,45.4,476.1,400.0,25.4,-31.2,130.1
2022-07-18,0.617,0.348,0.66,-2.5,409.6,400.0,-33.5,-4.6,11.2
2022-07-19,0.595,0.618,0.055,34.3,447.4,400.0,-8.7,-1.5,158.6
2022-07-20,0.569,0.674,0.41,-61.0,496.5,400.0,16.9,-2.3,42.6
2022-07-21,0.612,0.765,0.191,31.9,346.4,400.0,8.4,-10.6,-78.8
2022-07-22,0.512,0.688,-0.124,72.0,550.1,400.0,-23.0,3.3,92.5
2022-07-25,0.985,0.656,0.451,-52.5,405.9,400.0,11.9,15.3,110.4
2022-07-26,0.777,0.761,0.575,8.5,426.5,400.0,-37.5,-15.2,160.1
2022-07-27,0.776,0.812,0.269,58.7,447.5,400.0,10.0,-8.0,41.2
2022-07-28,0.695,0.776,-0.029,39.5,346.3,400.0,26.9,-56.7,246.3
2022-07-29,0.744,0.9,0.348,61.2,351.8,400.0,-0.5,18.7,97.6
2022-08-01,0.742,0.586,0.029,21.1,384.8,400.0,16.1,-8.4,175.1
2022-08-02,0.561,0.803,0.37,68.8,407.4,400.0,6.7,1.5,155.9
2022-08-03,0.558,0.474,0.546,33.5,351.6,400.0,-15.0,-7.8,138.7
2022-08-04,0.482,0.5,-0.091,4.5,317.4,400.0,-11.3,1.3,195.2
2022-08-05,0.707,0.648,0.28,20.5,469.3,400.0,-6.2,8.0,80.5
2022-08-08,0.346,0.593,0.018,45.2,334.4,400.0,-4.9,-10.0,145.7
2022-08-09,0.659,0.735,0.454,5.5,454.9,400.0,23.3,6.8,93.7
2022-08-10,0.551,0.705,0.116,0.6,328.6,400.0,29.8,-26.6,93.1
2022-08-11,0.355,0.839,0.559,9.7,359.3,400.0,17.3,10.8,48.0
2022-08-12,0.642,0.715,0.848,-59.1,389.4,400.0,29.6,-13.1,94.2
2022-08-15,0.559,0.706,-0.135,-44.0,537.1,400.0,5.6,8.5,208.9
2022-08-16,0.661,0.514,0.202,-40.9,411.4,400.0,-53.4,7.2,153.8
2022-08-17,0.523,0.62,0.466,30.9,416.0,400.0,0.1,40.3,134.3
2022-08-18,0.383,0.761,0.046,79.5,391.7,400.0,-15.5,13.3,51.6
2022-08-19,0.577,1.0,0.297,-18.9,346.8,400.0,13.4,18.2,50.2
2022-08-22,0.47,0.549,-0.01,9.4,440.9,400.0,-2.8,4.2,39.8
2022-08-23,0.321,0.791,-0.363,21.0,401.8,400.0,6.3,2.4,203.9
2022-08-24,0.727,0.652,0.325,-77.3,484.4,400.0,1.0,-28.6,168.8
2022-08-25,0.509,0.664,0.329,21.9,331.0,400.0,-11.0,20.8,-22.8
2022-08-26,0.579,0.552,-0.134,59.1,480.5,400.0,-16.8,29.3,177.2
2022-08-29,0.269,0.593,-0.002,-25.9,413.9,400.0,-9.8,-0.2,197.0
2022-08-30,0.536,0.639,0.052,4.5,352.8,400.0,8.8,-10.5,118.6
2022-08-31,0.705,0.756,0.313,40.7,418.4,400.0,27.5,-8.9,228.2
2022-09-01,0.294,0.831,0.402,-27.0,351.1,400.0,8.8,-2.9,16.2
2022-09-02,0.579,0.592,0.259,8.3,471.7,400.0,51.0,-11.9,117.9
2022-09-06,0.493,0.584,-0.226,46.0,393.1,400.0,12.7,3.8,211.4
2022-09-07,0.71,0.74,0.013,-68.7,351.9,400.0,4.4,14.2,152.6
2022-09-08,0.528,0.62,0.046,20.6,366.7,400.0,22.8,-2.0,251.1
2022-09-09,0.67,0.778,0.02,-11.8,352.7,400.0,-28.6,6.9,48.8
2022-09-12,0.694,0.726,0.395,49.7,492.2,400.0,-12.9,14.5,23.7
2022-09-13,0.55,0.579,0.495,83.4,332.3,400.0,12.3,-5.6,48.1
2022-09-14,0.674,0.761,0.394,-46.9,395.9,400.0,-14.5,24.4,78.2
2022-09-15,0.562,0.71,0.525,-49.3,415.4,400.0,28.7,29.0,275.9
2022-09-16,0.651,0.623,0.124,-18.1,373.6,400.0,-9.8,19.9,48.5
2022-09-19,0.458,0.706,-0.046,33.6,319.1,400.0,16.4,3.8,79.7
2022-09-20,0.458,0.531,-0.243,7.3,525.6,400.0,2.1,-15.2,5.7
2022-09-21,0.425,0.601,0.013,72.4,380.5,400.0,38.9,8.5,50.7
2022-09-22,0.64,0.744,-0.141,-44.9,321.3,400.0,14.8,5.8,112.4
2022-09-23,0.781,0.618,0.655,-25.5,353.3,400.0,11.8,27.5,-77.7
2022-09-26,0.744,0.704,0.361,84.4,407.2,400.0,-7.1,-5.3,84.2
2022-09-27,0.564,0.475,-0.173,4.4,389.6,400.0,-11.4,-11.1,28.3
2022-09-28,0.576,0.643,0.049,92.2,315.8,400.0,1.4,27.3,117.9
2022-09-29,0.723,0.679,-0.066,41.3,418.3,400.0,11.2,-3.5,191.2
2022-09-30,0.798,0.575,-0.087,16.8,329.8,400.0,6.8,0.3,65.0
2022-10-03,0.276,0.663,-0.01,34.5,446.5,400.0,-29.0,-9.6,111.2
2022-10-04,0.524,0.677,0.004,-61.5,423.3,400.0,-6.7,2.9,60.6
2022-10-05,0.623,0.527,-0.025,60.2,382.0,400.0,6.5,0.0,176.9
2022-10-06,0.594,0.31,0.117,23.3,595.5,400.0,-19.2,-0.1,79.9
2022-10-07,0.589,0.541,0.013,-70.2,366.2,400.0,8.1,2.2,183.6
2022-10-11,0.886,0.397,0.448,11.5,392.8,400.0,-8.8,0.5,117.6
2022-10-12,0.474,0.737,0.111,0.3,493.9,400.0,11.8,-18.7,226.6
2022-10-13,0.508,0.786,0.1,55.4,447.8,400.0,-4.4,17.3,140.6
2022-10-14,0.456,0.509,-0.029,-17.5,346.1,400.0,1.0,12.8,106.6
2022-10-17,0.362,0.522,0.065,26.8,423.2,400.0,3.5,8.6,175.8
2022-10-18,0.5,0.605,-0.281,-17.3,460.3,400.0,10.6,-10.7,237.7
2022-10-19,0.457,0.57,0.024,-75.1,250.0,400.0,17.1,16.8,226.5
2022-10-20,0.556,0.56,0.469,-47.8,376.4,400.0,-23.7,-1.0,288.1
2022-10-21,0.73,0.443,-0.11,4.8,509.4,400.0,-0.4,-6.1,92.5
2022-10-24,0.498,0.643,0.2,-5.0,358.9,400.0,2.8,-2.7,122.4
2022-10-25,0.725,0.54,0.467,25.0,489.1,400.0,62.4,-2.2,75.7
2022-10-26,0.739,0.461,0.184,-8.7,354.8,400.0,18.0,-17.6,28.3
2022-10-27,0.585,0.591,0.002,-33.4,413.0,400.0,2.4,11.6,147.1
2022-10-28,0.674,0.666,0.294,-1.5,404.9,400.0,-24.6,2.4,-97.4
2022-10-31,0.725,0.623,0.092,-59.6,356.3,400.0,-3.7,13.1,131.7
2022-11-01,0.546,0.71,0.364,6.3,294.8,400.0,46.2,-8.6,210.2
2022-11-02,0.568,0.883,0.196,-81.4,449.6,400.0,-29.9,6.1,166.2
2022-11-03,0.655,0.644,-0.378,23.5,364.6,400.0,-4.2,-1.4,161.3
2022-11-04,0.669,0.818,-0.062,25.6,521.9,400.0,26.4,-6.3,-46.7
2022-11-07,0.591,0.48,0.173,59.1,382.5,400.0,44.4,5.3,232.9
2022-11-08,0.713,0.251,0.418,-10.4,391.7,400.0,-3.9,10.3,69.6
2022-11-09,0.573,0.548,0.339,35.5,428.3,400.0,12.5,-9.1,144.7
2022-11-10,0.682,0.601,0.376,-57.5,354.6,400.0,19.7,23.7,65.0
2022-11-14,0.658,0.506,0.052,21.7,398.1,400.0,14.0,-3.7,85.8
2022-11-15,0.506,0.724,-0.091,-19.1,301.4,400.0,6.3,32.8,163.7
2022-11-16,0.806,0.575,-0.072,-12.6,453.4,400.0,28.0,-11.2,198.5
2022-11-17,0.741,0.629,-0.11,74.8,306.8,400.0,24.2,-5.1,81.3
2022-11-18,0.443,0.645,0.758,-22.4,452.3,400.0,10.0,-31.3,113.6
2022-11-21,0.7,0.796,0.65,29.0,380.3,400.0,34.9,-0.1,9.6
2022-11-22,0.552,0.576,-0.258,10.3,360.2,400.0,3.8,18.1,185.1
2022-11-23,0.716,0.591,0.223,45.8,373.0,400.0,4.7,-15.1,-70.1
2022-11-25,0.763,0.797,0.064,-34.1,427.3,400.0,-4.0,9.7,-13.5
2022-11-28,0.682,0.826,0.012,-49.6,425.3,400.0,-47.2,-9.8,-86.8
2022-11-29,0.777,0.826,0.287,-39.3,374.7,400.0,5.2,4.7,75.4
2022-11-30,0.685,0.82,-0.047,-51.0,350.2,400.0,4.0,13.0,90.1
2022-12-01,0.538,0.37,-0.041,-6.0,328.2,400.0,-23.2,33.4,130.1
2022-12-02,0.284,0.532,0.252,3.0,259.4,400.0,-13.3,18.3,185.5
2022-12-05,0.427,0.896,0.504,35.1,474.4,400.0,20.6,-4.5,72.8
2022-12-06,0.51,0.718,0.717,33.2,418.1,400.0,-26.4,-23.1,137.7
2022-12-07,0.673,0.861,0.262,-52.0,475.1,400.0,-0.3,7.5,-15.9
2022-12-08,0.409,0.758,-0.156,30.5,459.8,400.0,17.4,21.6,147.1
2022-12-09,0.392,0.713,0.323,-19.9,461.7,400.0,-21.9,0.8,69.7
2022-12-12,0.533,0.717,-0.011,34.1,371.3,400.0,1.9,-6.4,72.8
2022-12-13,0.551,0.632,0.107,-89.8,409.2,400.0,7.9,12.1,96.6
2022-12-14,0.611,0.655,0.574,0.6,340.7,400.0,17.6,-2.4,40.6
2022-12-15,0.787,0.515,0.526,18.8,434.2,400.0,6.1,-4.1,84.7
2022-12-16,0.52,0.584,0.376,-8.1,410.3,400.0,9.4,4.7,203.0
2022-12-19,0.574,0.598,0.605,13.4,429.3,400.0,-9.5,11.3,193.8
2022-12-20,0.728,0.695,-0.596,52.6,393.7,400.0,8.6,-16.1,116.2
2022-12-21,0.459,0.737,-0.102,-2.2,468.7,400.0,15.9,-26.2,79.5
2022-12-22,0.77,0.763,0.301,45.5,369.4,400.0,-27.7,-17.8,43.1
2022-12-23,0.448,0.879,0.095,38.0,343.0,400.0,9.3,-12.2,20.4
2022-12-27,0.532,0.763,0.448,-19.5,490.8,400.0,55.2,29.3,193.8
2022-12-28,0.488,0.745,-0.25,-93.0,432.8,400.0,-10.7,-6.9,99.5
2022-12-29,0.831,0.491,0.468,10.9,379.4,400.0,3.4,7.8,-52.1
2022-12-30,0.613,0.457,0.265,59.6,302.4,400.0,-15.2,-8.5,-5.1
2023-01-03,0.569,0.694,0.145,55.2,374.4,400.0,24.8,-10.2,18.1
2023-01-04,0.418,0.614,-0.385,22.3,269.1,400.0,10.1,16.3,-136.7
2023-01-05,0.772,0.668,0.773,-13.0,344.1,400.0,-1.4,-27.0,41.0
2023-01-06,0.719,0.519,-0.247,38.3,372.3,400.0,16.2,19.6,-80.5
2023-01-09,0.496,0.651,-0.309,-43.5,438.9,400.0,19.0,-0.1,121.3
2023-01-10,0.601,0.591,0.296,25.9,398.8,400.0,-23.3,1.6,99.1
2023-01-11,0.656,0.705,0.442,49.8,348.0,400.0,9.2,16.2,179.0
2023-01-12,0.647,0.722,0.072,6.8,471.5,400.0,7.2,21.3,129.0
2023-01-13,0.525,0.688,-0.147,-32.9,335.1,400.0,0.2,-13.3,309.9
2023-01-17,0.825,0.515,-0.032,7.4,280.0,400.0,0.2,-22.9,71.9
2023-01-18,0.565,0.633,0.233,23.6,452.6,400.0,16.2,-24.8,53.3
2023-01-19,0.569,0.853,-0.068,-30.2,372.8,400.0,-28.3,0.3,186.7
2023-01-20,0.745,0.589,0.476,-6.8,444.0,400.0,-9.8,-13.9,120.3
2023-01-23,0.708,0.569,-0.136,43.5,353.8,400.0,2.4,-19.3,102.4
2023-01-24,0.735,0.743,-0.371,48.4,354.5,400.0,-10.5,7.8,179.8
2023-01-25,0.882,0.583,0.579,14.9,327.1,400.0,-1.6,8.8,185.7
2023-01-26,0.498,0.542,-0.102,-22.8,411.4,400.0,-6.6,-3.9,-45.2
2023-01-27,0.621,0.567,0.253,-76.5,441.1,400.0,21.1,-4.0,88.3
2023-01-30,0.478,0.766,0.266,21.2,458.0,400.0,0.1,3.7,135.7
2023-01-31,0.52,0.627,-0.093,-50.8,488.5,400.0,34.7,-18.4,-108.2
2023-02-01,0.48,0.747,0.29,16.0,431.2,400.0,0.1,8.4,35.9
2023-02-02,0.587,0.792,-0.025,-15.2,339.3,400.0,22.0,11.4,140.8
2023-02-03,0.72,0.598,-0.106,35.8,476.9,400.0,11.3,19.8,178.7
2023-02-06,0.546,0.631,0.087,-34.9,409.2,400.0,28.9,-27.4,71.2
2023-02-07,0.622,0.622,0.627,-48.3,453.0,400.0,-6.3,7.7,12.6
2023-02-08,0.466,0.554,0.195,24.5,375.5,400.0,4.5,8.7,108.1
2023-02-09,0.488,0.77,0.379,8.3,408.5,400.0,-26.0,24.0,89.3
2023-02-10,0.393,0.599,0.125,38.1,408.2,400.0,-28.5,-2.9,50.8
2023-02-13,0.547,0.525,-0.056,61.7,334.2,400.0,17.3,-2.9,-15.8
2023-02-14,0.576,0.855,0.205,-9.2,292.6,400.0,-14.6,-3.4,61.5
2023-02-15,0.592,0.623,0.06,39.8,374.9,400.0,20.1,-6.0,-26.4
2023-02-16,0.486,0.643,-0.031,-55.6,487.7,400.0,-0.7,-13.5,40.1
2023-02-17,0.647,0.581,0.33,-40.2,383.3,400.0,18.2,-15.3,93.8
2023-02-21,0.568,0.512,0.232,9.8,399.7,400.0,16.2,-10.3,46.7
2023-02-22,0.473,0.471,-0.086,-5.1,396.3,400.0,-48.7,6.8,252.1
2023-02-23,0.615,0.754,0.368,-78.6,459.5,400.0,-5.7,-13.5,87.9
2023-02-24,0.61,0.582,0.098,80.4,328.8,400.0,-20.9,9.5,172.2
2023-02-27,0.579,0.397,0.353,-76.5,448.8,400.0,-62.5,-0.5,109.0
2023-02-28,0.764,0.552,-0.098,-8.9,388.9,400.0,-13.5,8.2,4.3
2023-03-01,0.656,0.616,-0.159,47.0,398.7,400.0,-32.8,10.5,48.7
2023-03-02,0.995,0.561,-0.037,0.9,426.0,400.0,-0.7,-4.1,86.4
2023-03-03,0.533,0.71,0.108,33.5,396.0,400.0,-15.1,17.6,47.9
2023-03-06,0.61,0.599,0.044,-21.5,417.3,400.0,10.2,17.3,98.0
2023-03-07,0.426,0.753,0.483,14.8,362.7,400.0,1.8,-17.7,47.4
2023-03-08,0.525,0.754,-0.139,64.9,471.0,400.0,18.3,-10.5,107.2
2023-03-09,0.316,0.53,-0.493,-9.4,406.7,400.0,17.2,-4.9,176.9
2023-03-10,0.672,0.562,0.098,28.6,459.9,400.0,16.8,15.4,165.7
2023-03-13,0.741,0.777,0.251,-0.8,432.6,400.0,6.2,19.5,127.0
2023-03-14,0.558,0.684,-0.005,15.0,455.2,400.0,-6.9,4.5,112.2
2023-03-15,0.351,0.734,0.166,28.4,455.3,400.0,-9.8,21.3,12.7
2023-03-16,0.921,0.734,-0.133,-39.5,415.5,400.0,-13.7,-5.2,188.5
2023-03-17,0.534,0.568,-0.178,-33.3,455.5,400.0,-4.0,22.5,-44.0
2023-03-20,0.528,0.95,0.271,-15.4,425.7,400.0,17.6,14.2,72.6
2023-03-21,0.715,0.768,0.285,36.9,521.0,400.0,19.4,2.6,27.8
2023-03-22,0.453,0.599,0.275,47.6,409.2,400.0,-30.6,9.8,148.4
2023-03-23,0.491,0.774,0.267,78.5,423.7,400.0,3.9,17.9,237.7
2023-03-24,0.702,0.636,0.225,-6.2,445.9,400.0,1.3,-6.6,71.8
2023-03-27,0.794,0.665,0.057,-12.3,371.0,400.0,-21.0,-9.4,230.7
